isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description
9780006163831,0006163831,The One Tree,Stephen R. Donaldson,American fiction,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.,1982.0,3.97,479.0,172.0,The One Tree,9780006163831 Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.
9780006353287,0006353282,An Autobiography,Agatha Christie,"Authors, English",http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Donation.,1977.0,4.27,560.0,3975.0,An Autobiography,9780006353287 Donation.
9780006479673,0006479677,If Tomorrow Comes,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans.",1994.0,4.04,501.0,49170.0,If Tomorrow Comes,"9780006479673 One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans."
9780006480099,0006480098,Assassin's Apprentice,Robin Hobb,American fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fantasy-roman.,1996.0,4.15,460.0,133972.0,Assassin's Apprentice,9780006480099 Fantasy-roman.
9780006550433,0006550436,The Bonesetter's Daughter,Amy Tan,China,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tells the story of three generations of Chinese women, beginning at the turn of the century.",2001.0,3.98,352.0,414.0,The Bonesetter's Daughter,"9780006550433 Tells the story of three generations of Chinese women, beginning at the turn of the century."
9780006754893,0006754899,A Small Pinch of Weather,Joan Aiken,"Children's stories, English",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A magical and fantastic collection of early stories by one of the most original children's authors of the 20th century. For 8-11 year olds.,2000.0,4.27,239.0,116.0,A Small Pinch of Weather: And Other Stories,9780006754893 A magical and fantastic collection of early stories by one of the most original children's authors of the 20th century. For 8-11 year olds.
9780007103676,0007103670,Koko,Peter Straub,Male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Koko is Peter Straub's foray into the psychological horror of the Vietnam War.,2001.0,3.56,634.0,7586.0,Koko,9780007103676 Koko is Peter Straub's foray into the psychological horror of the Vietnam War.
9780007122585,0007122586,The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A young drifter finds more than he bargained for when he agrees to deliver a parcel to an English country house...,2001.0,3.86,400.0,11110.0,The Secret of Chimneys,9780007122585 A young drifter finds more than he bargained for when he agrees to deliver a parcel to an English country house...
9780007149612,0007149611,Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A new 'The Doors of Perception' for the 21st century? A visionary journey from cynicism to shamanism by a brilliant young US writer.,2004.0,4.06,336.0,46.0,Breaking Open the Head: A Visionary Journey from Cynicism to Shamanism,9780007149612 A new 'The Doors of Perception' for the 21st century? A visionary journey from cynicism to shamanism by a brilliant young US writer.
9780007150304,000715030X,"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,http://books.google.com/books/content?id=wPBpR4AFNJ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A matter of life and death - and the Throne of England,2003.0,3.88,242.0,78.0,"Beware, Princess Elizabeth",9780007150304 A matter of life and death - and the Throne of England
9780007158515,0007158513,I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",http://books.google.com/books/content?id=oyF8U9BRTQwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Nonsense rhyming story. 4 yrs+,2003.0,4.2,48.0,16561.0,I Can Read with Me Eyes Shut!,9780007158515 Nonsense rhyming story. 4 yrs+
